GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
100;Управление ФНС России по Республике Адыгея;,385009,Адыгея Респ,,Майкоп г,,Привокзальная ул,331,,;8(8772) 57-96-30;Код ОКПО:16592416. Режим работы понедельник-четверг с 9.00 по 18.00,пятница с 09.00 по 16.45.Перерыв с 13.00 до 13.45. Выходной: суббота, воскресенье.Телефон горячей линии 8(800)222-22-22;Казначейство России (ФНС России);79622402,79605402,79633405,79630405,79618404,79615404,79618408,79615408,79633410,79633445,79605000,79605407,79703000,79701000,79622407,79640405,79633415,79615412,79605410,79640408,79615415,79618415,79640412,79615418,79622457,79605415,79622420,79630417,79615000,79615420,79618000,79618420,79622425,79622428,79622434,79622000,79615425,79640435,79000000,79615430,79622447,79633430,79633433,79618425,79605420,79630415,79630000,79630420,79633000,79622452,79633155,79622455,79618430,79640430,79640425,79618435,79615445,79630419,79640000,79630157,79630159;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;1013;УФНС России по Республике Адыгея;385009,Республика Адыгея,город Майкоп, ул. Привокзальная, 331.;8(8772)56-96-13;Режим работы: с 8.00-17.00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье;1013;УФНС России по Республике Адыгея;385009,Республика Адыгея,город Майкоп, ул. Привокзальная, 331.;8(8772)56-96-13;Режим работы: с 8.00-17.00 перерыв с 12-00 до 13-00 выходные: суббота, воскресенье
200;Управление ФНС России по Республике Башкортостан;,450078,,,Уфа г,,Салавата Юлаева пр,55,,;347-215-10-70 добавочный 55-55;Код ОКПО:00085781. Режим работы: понедельник - четверг: 08.30 - 17.30, пятница: 08.30 - 16.15, Обеденный перерыв с 12.30 до 13.15, Cуббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80000000;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
261;Межрайонная инспекция ФНС России № 25 по Республике Башкортостан;,453215,Башкортостан Респ,,Ишимбай г,,Стахановская ул,65,,;34794-7-49-02 добавочный 39-96;Код ОКПО:12752171. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80626404,80641402,80626405,80641405,80641410,80641415,80631405,80626406,80631415,80626407,80654405,80654410,80639410,80626410,80654415,80654416,80631425,80638405,80641422,80654417,80631101,80723000,80641101,80739000,80654420,80654425,80641435,80639412,80638410,80626000,80641430,80639417,80638415,80638420,80639415,80638425,80638430,80626416,80631430,80631435,80631000,80641445,80626419,80654427,80641480,80639420,80638000,80638440,80631440,80631445,80639000,80639425,80631450,80638445,80641000,80641450,80654430,80638450,80626422,80639435,80638455,80638460,80626425,80626428,80641455,80641460,80638463,80639440,80641465,80641470,80631455,80638470,80654440,80654445,80654450,80631460,80626431,80638473,80641475,80639450,80631470,80626434,80626437,80639455,80654455,80638475,80638480,80631475,80626440,80654000,80654460,80638483,80639460,80641485,80638485,80638487,80639465,80638495,80631480,80626443;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
264;Межрайонная инспекция ФНС России № 29 по Республике Башкортостан;,452684,Башкортостан Респ,,Нефтекамск г,,Строителей ул,19,,;34783-7-55-01 добавочный 44-41;Код ОКПО:12752202. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80618404,80650405,80650410,80633403,80637405,80659410,80618407,80650415,80659415,80608000,80608404,80633405,80650420,80618000,80618413,80618416,80650425,80608407,80618419,80659420,80703000,80727000,80659101,80659430,80659435,80659440,80618422,80633415,80633420,80633000,80633425,80650430,80650435,80637410,80659445,80618425,80633430,80659450,80637000,80633447,80650440,80618431,80608413,80608416,80650445,80618428,80637412,80659453,80659455,80637415,80650450,80608419,80633445,80608422,80637421,80637420,80659460,80637425,80637430,80637435,80633446,80637440,80650455,80637461,80608425,80659465,80659470,80637443,80659475,80637450,80608428,80608431,80659480,80659485,80608434,80633452,80618437,80618440,80650000,80618443,80608437,80608440,80633450,80618446,80608441,80608443,80659490,80650460,80637465,80608448,80650465,80659495,80659000;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
268;Межрайонная инспекция ФНС России № 3 по Республике Башкортостан;,453100,Башкортостан Респ,,Стерлитамак г,,Октября пр-кт,34,,;3473-42-08-01 добавочный 29-75;Код ОКПО:12752248. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80606404,80601000,80655405,80649404,80648405,80606407,80655410,80655415,80649412,80648402,80601404,80601407,80655420,80601410,80605000,80649416,80649418,80601413,80606000,80648410,80605402,80605404,80606409,80621407,80621410,80627404,80606410,80605407,80648415,80601416,80655424,80649428,80621413,80621414,80627410,80621000,80606101,80743000,80745000,80601419,80601422,80627413,80627000,80627416,80606413,80621416,80605410,80627419,80655425,80621419,80605413,80606416,80606428,80605416,80606422,80606425,80648418,80649436,80627421,80627422,80648420,80627423,80605419,80601425,80621422,80649420,80601428,80621423,80649444,80648425,80649440,80606437,80648430,80606431,80655430,80649424,80627425,80606438,80605422,80605425,80621425,80606434,80605428,80649448,80606440,80649452,80655432,80605431,80649460,80649456,80649464,80649468,80601431,80649478,80649480,80627432,80621428,80655433,80648435,80605434,80606442,80606443,80648440,80605437,80648000,80648445,80649000,80605440,80621431,80606446,80655440,80606449,80655435,80621434,80601434,80621437,80605443,80601437,80606452,80605446,80621440,80605449,80606453,80605452,80605458,80649488,80648455,80627434,80605461,80649492,80621443,80655445,80655450,80655000,80648460,80601440,80601443,80655455,80605472,80627436,80606455,80627442,80601446,80621446,80648465,80606459,80648470;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
269;Межрайонная инспекция ФНС России № 27 по Республике Башкортостан;,452750,Башкортостан Респ,,Туймазы г,,М.Джалиля ул,13,,;34782-2-93-14 добавочный 42-49;Код ОКПО:12752260. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80612404,80658405,80609401,80609413,80607404,80609402,80658410,80612407,80607000,80607407,80625402,80609000,80612000,80612410,80612413,80644405,80651405,80644410,80644415,80607413,80651410,80651415,80625404,80651417,80609101,80735000,80651101,80612416,80607419,80658415,80609404,80658420,80612419,80644420,80625000,80625407,80609407,80644425,80612422,80658425,80609410,80644428,80651420,80651425,80612425,80612428,80607425,80651427,80651430,80644429,80651435,80644430,80612431,80607428,80644435,80612440,80607431,80625411,80609416,80609419,80644440,80609425,80607410,80612442,80658430,80644445,80644000,80644450,80607434,80658435,80658440,80651439,80625413,80651440,80644460,80607440,80607446,80658445,80658455,80609165,80609428,80625416,80651445,80644465,80609431,80651447,80609434,80625422,80625425,80607451,80607449,80607455,80625428,80651455,80658465,80625431,80607458,80651461,80625434,80612443,80607461,80625437,80651465,80609437,80651000,80651470,80607464,80644470,80609440,80625440,80658475,80651475,80658000,80658485,80609443;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
272;Межрайонная инспекция ФНС России № 30 по Республике Башкортостан;,450095,,,Уфа г,,Левитана ул,14,,;347-215-10-58 добавочный 47-66;Код ОКПО:31227246. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80611404,80603404,80652405,80635405,80611407,80614404,80652403,80657405,80653410,80617404,80657410,80657415,80603413,80603000,80603410,80619404,80611410,80619407,80653415,80619409,80619410,80603416,80614407,80611000,80614000,80614410,80617000,80617407,80635415,80653416,80652410,80619000,80611415,80619413,80617410,80611101,80707000,80701000,80653101,80652415,80657420,80614413,80657425,80657430,80657435,80635420,80611418,80652418,80611416,80652420,80611417,80657440,80653420,80653425,80653430,80603419,80611420,80619416,80603422,80611422,80635423,80611425,80635425,80617413,80657445,80617416,80614416,80635430,80652423,80635000,80635435,80614419,80619419,80617419,80619420,80652425,80653440,80617422,80603425,80603428,80652430,80617425,80619440,80653445,80614422,80657446,80603434,80611427,80653449,80652435,80653448,80614423,80652440,80653450,80635440,80611434,80652450,80653455,80635445,80657450,80611440,80652452,80603440,80614424,80635450,80653465,80657151,80635451,80652455,80617431,80635455,80657455,80653470,80635475,80611443,80611446,80635465,80619422,80635470,80619425,80603446,80617437,80614428,80652460,80619430,80611448,80614431,80611449,80653484,80617440,80614434,80603450,80611452,80653488,80653491,80617446,80652000,80653000,80653496,80652472,80652473,80657000,80657465,80657470,80635480,80652475,80611455,80657475,80652480,80614437,80614440,80614443;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
273;Межрайонная инспекция ФНС России № 31 по Республике Башкортостан;,450112,,,Уфа г,,Ульяновых ул,18,,;347-215-10-62 добавочный 52-50;Код ОКПО:31227252. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80602404,80628403,80602406,80622404,80602000,80628405,80645405,80628410,80645410,80622410,80602413,80602416,80622101,80701000,80622000,80602418,80602419,80628415,80622413,80628000,80628416,80622416,80622419,80622422,80602422,80628420,80628425,80602428,80622425,80602431,80628430,80645415,80645416,80628432,80622428,80602437,80628435,80628440,80602440,80622431,80628445,80602443,80602446,80602449,80645420,80634452,80645435,80645440,80645000,80628450,80645444,80645445,80622434,80602451,80622437,80622440,80645450,80622443,80602455,80622444,80645452,80645455,80628455,80602458,80602461,80628460,80628470,80628472,80628474,80602464,80628480,80622446,80602470,80622449;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
274;Межрайонная инспекция ФНС России № 40 по Республике Башкортостан;,450077,,,Уфа г,,Коммунистическая ул,59,,;347-215-10-66 добавочный 60-48;Код ОКПО:31227269. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80652410,80701000,80652460;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
276;Межрайонная инспекция ФНС России № 2 по Республике Башкортостан;,450055,,,Уфа г,,Российская ул,72/2,,;347-215-10-53 добавочный 27-77;Код ОКПО:31227281. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80642401,80636405,80642405,80647405,80623404,80647410,80636410,80610402,80610000,80610404,80642410,80642415,80636415,80623406,80701000,80642420,80623000,80623407,80636425,80636420,80610407,80623413,80636430,80647415,80636435,80610413,80636000,80642423,80647425,80647430,80623419,80642425,80636440,80610416,80642430,80647435,80623422,80623425,80642000,80647440,80647445,80623428,80647447,80647450,80610419,80636445,80610422,80642435,80642442,80610425,80647476,80642445,80623431,80647000,80647453,80623433,80623434,80610428,80647455,80610431,80647460,80647465,80623440,80610434,80604450,80610437,80642450,80647475,80610440,80623443;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
277;Межрайонная инспекция ФНС России № 33 по Республике Башкортостан;,450075,,,Уфа г,,Октября пр-кт,95,2,;347-215-10-74 добавочный 53-75;Код ОКПО:31227298. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80643405,80604402,80634404,80604000,80604404,80634412,80634416,80643410,80613407,80615404,80613409,80613000,80615000,80615407,80643415,80643420,80613408,80613410,80634424,80615413,80613101,80615101,80701000,80604413,80615419,80615422,80615425,80643425,80604416,80643430,80613416,80643435,80634000,80634432,80634436,80604418,80604419,80634440,80604425,80604428,80604431,80634444,80613419,80604437,80643445,80634445,80613422,80643000,80643450,80604440,80615428,80634452,80634456,80615431,80643455,80634460,80615434,80615437,80613425,80604442,80634464,80615440,80615443,80613431,80634472,80643460,80613434,80615449,80613437,80604443,80613440,80615453,80643465,80613443,80615461,80634480,80604446,80643470,80634484,80613446,80643480,80634488;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
278;Межрайонная инспекция ФНС России № 1 по Республике Башкортостан;,450005,,,Уфа г,,50 лет Октября ул,13/1,,;347-215-10-78 добавочный 22-20;Код ОКПО:31227306. Режим приема: понедельник, среда: 9.00 - 18.00, вторник, четверг: 9.00 - 20.00, пятница: 9.00 - 16.45, суббота, воскресенье - выходные дни.;Казначейство России (ФНС России);80630404,80624404,80630408,80624407,80640405,80630412,80640410,80656410,80630416,80624101,80701000,80640415,80630424,80624000,80630426,80630000,80656415,80630428,80630432,80624410,80630436,80630440,80630444,80656420,80630448,80640430,80630452,80624413,80640000,80640435,80640440,80624416,80624422,80656425,80656435,80630456,80656440,80640465,80656445,80630460,80624430,80624431,80640470,80656450,80640475,80630464,80640477,80640480,80624434,80624437,80630468,80624440,80656455,80624443,80656460,80630472,80656465,80624447,80656000,80656470,80630476,80624449,80640490,80656475,80630478,80630480,80630484;7727406020;770801001;ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области г.Тула;17003983;4,01028E+19;3,10064E+18;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45;2123;Межрайонная ИФНС России № 39 по Республике Башкортостан;450076, Республика Башкортостан, г.Уфа, ул Красина, д.52;(347) 215-10-83 добавочный 58-33;Понедельник - четверг: 9.00 - 18.00, пятница: 9.00 - 16.45
